Date,Open,High,Low,Close,Adj Close,Volume
"Nov 26, 2025",276.96,279.53,276.63,277.55,277.55,33431400.0
"Nov 25, 2025",275.27,280.38,275.25,276.97,276.97,46914200.0
"Nov 24, 2025",270.90,277.0,270.9,275.92,275.92,65585800.0
"Nov 21, 2025",265.95,273.33,265.67,271.49,271.49,59030800.0
"Nov 20, 2025",270.83,275.43,265.92,266.25,266.25,45823600.0
"Nov 19, 2025",265.53,272.21,265.5,268.56,268.56,40424500.0
"Nov 18, 2025",269.99,270.71,265.32,267.44,267.44,45677300.0
"Nov 17, 2025",268.82,270.49,265.73,267.46,267.46,45018300.0
"Nov 14, 2025",271.05,275.96,269.6,272.41,272.41,47431300.0
"Nov 13, 2025",274.11,276.7,272.09,272.95,272.95,49602800.0
"Nov 12, 2025",275.00,275.73,271.7,273.47,273.47,48398000.0
"Nov 11, 2025",269.81,275.91,269.8,275.25,275.25,46208300.0
"Nov 10, 2025",268.96,273.73,267.46,269.43,269.43,41312400.0
"Nov 7, 2025",269.80,272.29,266.77,268.47,268.21,48227400.0
"Nov 6, 2025",267.89,273.4,267.89,269.77,269.51,51204000.0
"Nov 5, 2025",268.61,271.7,266.93,270.14,269.88,43683100.0
"Nov 4, 2025",268.33,271.49,267.62,270.04,269.78,49274800.0
"Nov 3, 2025",270.42,270.85,266.25,269.05,268.79,50194600.0
"Oct 31, 2025",276.99,277.32,269.16,270.37,270.11,86167100.0
"Oct 30, 2025",271.99,274.14,268.48,271.4,271.14,69886500.0
"Oct 29, 2025",269.28,271.41,267.11,269.7,269.44,51086700.0
"Oct 28, 2025",268.99,269.89,268.15,269.0,268.74,41534800.0
"Oct 27, 2025",264.88,269.12,264.65,268.81,268.55,44888200.0
"Oct 24, 2025",261.19,264.13,259.18,262.82,262.57,38253700.0
"Oct 23, 2025",259.94,260.62,258.01,259.58,259.33,32754900.0
"Oct 22, 2025",262.65,262.85,255.43,258.45,258.2,45015300.0
"Oct 21, 2025",261.88,265.29,261.83,262.77,262.52,46695900.0
"Oct 20, 2025",255.89,264.38,255.63,262.24,261.99,90483000.0
